,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
16,8.8857793808,2.0047571659,-1.3626722097,4.1491241455,-0.2499400228,5.9719305038,6.1199803352,12.777513504,4.0963163376,5.106262207,-2.9751908779,-6.93764925,-2.3273544312,1.2550773621,-2.4461715221,-0.9336102009,1.0353599787,5.6447114944,-4.9488759041,1.8274743557
17,6.1831607819,1.2183007002,0.2734212875,2.4555079937,1.9283746481,3.3070309162,2.5384914875,11.7251329422,5.8219943047,5.0581698418,-3.9851367474,-2.9610459805,-0.9468121529,-1.8162519932,-2.2283401489,-0.1282938868,2.4526789188,6.9762182236,-1.4739453793,2.5083155632
18,2.9430356026,0.5883811116,2.4762537479,-0.1122629941,4.3339509964,-0.3810161054,-0.7931042314,7.7438149452,7.1299262047,4.4122190475,-3.5268421173,3.1495511532,0.6044119596,-3.4363145828,-0.2886027396,2.5290615559,3.8153045177,5.9653291702,3.8313353062,4.3047180176
19,0.7486899495,1.0787376165,5.1703858376,-1.6276533604,6.0039920807,-3.2458300591,-2.4423997402,2.8449642658,7.1459569931,3.3862423897,-0.4922893345,8.7886514664,1.8237024546,-3.3495593071,2.5460352898,5.5626711845,3.8200194836,3.2051877975,8.8876657486,6.5160374641
20,0.2385305464,3.336263895,7.3986792564,-0.7808452845,6.4830327034,-3.5994524956,-1.7587294579,-1.6757459641,6.4104223251,2.4696528912,4.0661406517,11.7034444809,3.7681548595,-1.0477124453,5.077029705,7.1497292519,2.1518640518,1.1041984558,11.8599805832,7.7645606995
21,1.5049706697,5.9228944778,8.589679718,2.3649806976,6.3019781113,-1.6521711349,1.2173576355,-4.450032711,5.7918186188,1.9368616343,8.1889076233,11.2470350266,6.4057073593,2.0679376125,6.4764318466,7.0290260315,-0.0688852966,1.3003411293,12.4729270935,7.1657600403
22,4.2104187012,7.3864202499,8.5227270126,6.516980648,6.3142371178,2.030217886,4.9723572731,-3.2562029362,4.8384523392,2.1631801128,10.6633224487,8.825428009,8.5981664658,5.0883455276,7.0346837044,5.3599276543,-0.4545695782,3.1985867023,10.8226881027,6.0964055061
23,7.82868433,6.7970495224,7.227997303,9.7033548355,7.1412420273,7.0893774033,8.2030525208,1.7426049709,4.3933591843,3.311745882,10.0013408661,6.5396122932,9.6514902115,7.27891922,6.7857336998,3.0561947823,2.0622797012,5.8182225227,7.9390144348,6.8649449348
24,11.2998428345,4.5913882256,6.0567998886,11.0914411545,8.9414167404,11.5582227707,10.8538074493,7.9955940247,4.6470246315,5.1600131989,6.7649879456,5.6333956718,9.1215286255,8.1342144012,6.0643434525,1.8887689114,7.0082798004,8.773563385,5.3024048805,10.6246595383
25,13.2603263855,3.4173612595,6.3057498932,10.6161727905,10.8094863892,14.5380821228,13.277299881,13.4724998474,5.5645570755,7.6070809364,3.1891567707,6.3925051689,7.2600593567,8.2879219055,5.5145783424,3.4711117744,12.6756706238,11.9307050705,4.0114469528,17.4868221283
26,12.9717702866,5.342010498,9.1479320526,9.2554330826,12.3145036697,16.3250541687,16.0987358093,16.3552303314,8.0399150848,10.2785806656,1.1654930115,9.8617782593,6.2774600983,8.4812355042,6.019080162,7.8494300842,16.5004520416,17.1794071198,5.4636569023,26.0369434357
27,11.2998428345,10.2719802856,13.6648702621,8.8320293427,13.169798851,16.576833725,17.9526615143,15.8648738861,11.5968856812,12.385228157,2.9373776913,15.4131803513,9.294095992999999,8.7961950302,9.2931528091,13.9213647842,18.6995124817,25.28632164,10.7670516968,32.6897621155
28,9.6958112717,16.66264534,17.5283145905,9.6844949722,12.9302787781,14.8313531876,16.1506004333,12.9481954575,15.6715602875,13.0887012482,9.7297592163,22.305519104,18.1365451813,10.7029285431,17.045501709,21.4106178284,21.9217205048,34.0222129822,20.11211586,34.605922699
29,9.2893810272,21.2993450165,19.511428833,11.0810680389,11.7694540024,11.104642867999999,11.6817550659,9.4242286682,18.6212444305,12.6068315506,21.842508316,29.832490921,30.2822990417,16.8512458801,29.9663963318,29.9522514343,27.2015399933,39.9253501892,31.8863315582,32.2088356018
