,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
186,11.6711130142,3.6538517475,-0.6508980989,1.7113478184,2.1512143612,11.9969406128,-1.1463468075,0.5949110985,-3.2201399803,3.0021977425,24.0381660461,15.0223398209,13.5158691406,19.9327449799,3.3759405613,18.9418468475,8.5057992935,10.0180206299,19.0999698639,3.6088111401
187,2.4655416012,3.9193050861,-0.1228666902,-5.299683094,-1.0735149384,13.7238235474,-2.0471627712,-7.0946068764,-17.9686050415,5.6758961678,12.0793552399,11.4411172867,7.5417346954,16.7923469543,-2.2685334682,6.160803318,-2.7016916275,-1.6063379049,14.3304367065,-3.2316398621
188,-3.8401696682,0.3697071075,-1.4118000269,-7.6820535660000004,-2.51577878,11.5589904785,-5.0169801712,-15.7587308884,-20.8234233856,1.522559762,-4.6173629761,2.1790053844,5.1986551285000004,6.9437465668,-9.4194784164,-5.7548828125,-4.4094085693,-11.5201044083,2.4540417194,-7.1779799461
189,-10.2110462189,-6.6940312386,-4.4151587486,-5.3437657356,-4.1487469673,2.8507840633,-9.020819664,-17.3840332031,-15.8421039581,-1.6274209023,-15.4530277252,-2.0730371475,1.181399703,-5.0610628128,-10.1085062027,-12.5301675797,-0.4688183069,-13.0486164093,-15.6082754135,-8.5119543076
190,-16.6605052948,-9.6925983429,-7.0361495018,-5.589094162,-4.1343722343,-6.0260858536,-9.8516778946,-9.8785114288,-9.9101352692,-5.5478863716,-18.8943367004,-4.817650795,-6.9987750053,-10.7218284607,-5.3159742355,-13.3054447174,-1.6906696558,-9.3504800797,-23.9676551819,-8.0308799744
191,-20.8320484161,-7.4903907776,-4.3519096375,-6.6240739822,-3.4405524731,-14.1219291687,-8.250333786,0.9044467211,-0.104658708,-3.4233026505,-17.9043979645,-8.2704591751,-15.521068573,-11.6849346161,3.3845653534,-15.7539386749,-6.2062487602,-6.9987750053,-19.2153720856,-2.4927790165
192,-12.3356304169,-0.8761020899,2.0640075207,-0.6681478024,-1.8669996262,-14.4860887527,0.2853754163,8.9427909851,11.6241559982,3.0874876976,-11.8775558472,-10.3183774948,-15.6696071625,-13.2834033966,5.7123117447,-11.0840711594,-8.7026586533,-5.6226353645,-8.5972442627,3.1277370453
193,7.5973172188,5.8963084221,5.953807354,7.3596549034,3.2465679646,-3.4060530663,8.3936767578,13.8426542282,20.4243602753,1.1181509495,-2.2819497585,-9.0917348862,-6.414203167,-11.9657201767,-0.4716932774,3.9518876076,-5.0083556175,-0.1841988266,3.5101046562,3.6068944931
194,23.3002624512,6.1742196083,5.5129823685,12.5134716034,6.9600377083,4.8220376968,9.9988536835,14.3016872406,21.1517219543,-1.3677176237,7.9748930931,-2.4649879932,3.2877755165,-5.5220122337,-3.4587605,12.4598064423,2.1531310081,11.0855827332,11.2839536667,1.4784772396
195,24.8345241547,3.9231383801,3.4123566151,12.1866865158,4.5862922668,5.5570650101,11.3740358353,9.946146965,9.7611923218,0.2087102234,20.6629810333,5.3769016266,10.1215181351,8.1799726486,0.5374121666,14.3697271347,7.1833252907,18.2422771454,16.2221508026,3.6615183353
196,13.7592811584,3.5187294483,4.8086209297,3.0021977425,1.5561008453,4.1320509911,8.9293746948,2.8431174755,-3.6159241199,3.1162371635,24.7770252228,12.1052293777,13.3797883987,21.5522975922,7.7976050377,13.6481161118,8.4473419189,14.7885112762,21.0855979919,8.5546731949
197,-0.3087797463,2.4933326244,4.0726351738,-6.0816679001,0.8450312018,5.5101075172,2.2662119865,-8.1909189224,-10.9144496918,5.2590289116,14.3112707138,14.3716440201,14.6438055038,20.8163108826,7.6318163872,7.4018206596,6.1703863144,3.3673157692,15.2264614105,7.9720182419
198,-11.2335681915,-0.8377695084,-5.1463527679,-8.6614513397,-2.7160663605,9.0194559097,-5.9628367424,-17.1176204681,-18.006937027,-0.0730343163,0.3907900155,10.0276031494,12.4502229691,10.778922081,0.4319975674,1.9930922985,3.4152314663,-8.1334199905,-0.4582768679,1.5925167799
199,-17.01795578,-6.0577101707,-12.2560901642,-10.5062074661,-6.542617321,5.2676539421,-16.0471839905,-13.3466520309,-19.1933307648,-3.314054966,-14.6739177704,2.6054553986,-0.1276582628,1.8780945539,-4.9537315369,-4.7275691032,-1.2163038254,-13.7865190506,-13.4290676117,-5.982003212
200,-17.1962032318,-9.0917348862,-8.2091264725,-10.6355800629,-6.4860768318,-4.3154935837,-16.7659187317,-3.5517170429,-11.7290172577,-0.4486937225,-23.7156181335,-7.3399353027,-15.1770334244,-10.7141618729,-7.7136778831,-16.9968738556,-8.5474119186,-14.7860412598,-18.7802963257,-9.4903936386
