,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
56,65.8971405029,53.4208030701,35.9996795654,47.9677009583,52.7675209045,61.5538597107,46.9021186829,53.023563385,61.6385803223,28.9566764832,37.399433136,21.7743587494,50.8057975769,40.4728622437,41.3172302246,33.7452049255,40.06432724,36.1898269653,41.5986862183,42.1879577637
57,52.2827377319,50.160987854,46.2591934204,47.7568435669,50.380317688,64.8014373779,45.8657188416,52.9802627563,60.7367897034,34.7608947754,46.3194389343,38.5873832703,57.4336738586,52.9473152161,51.8431396484,37.6488838196,47.6259994507,38.9159088135,69.654914856,49.3316802979
58,39.5635414124,48.6388664246,59.4914131165,50.650478363,48.4110641479,62.3633995056,48.0185317993,52.6912727356,58.3740615845,47.3436012268,58.7496490479,60.4167366028,63.3894462585,68.0038299561,64.0954437256,46.5293540955,58.645160675,48.0674819946,91.4400253296,60.382850647
59,31.7373542786,49.0699920654,68.883026123,53.3671455383,47.2212295532,54.6614685059,50.3840827942,52.7590484619,55.6075019836,61.7656593323,71.3474197388,78.052482605,66.4986495972,77.0104370117,72.2990951538,59.5620155334,67.6216506958,59.8867721558,100.3016662598,70.3609085083
60,30.0250816345,49.6827964783,69.2642593384,54.2369308472,45.8355979919,44.1666259766,50.1346321106,52.3429832458,52.6150283813,70.3138427734,78.7311782837,84.5749282837,65.4980163574,75.2247390747,73.3976287842,71.732421875,69.9655532837,68.8293685913,92.3079223633,74.4086074829
61,33.1700515747,48.3065757751,59.4867095947,52.7985839844,43.8381004333,34.6601715088,47.0969734192,49.6244354248,47.9752311707,67.9680557251,75.823425293,79.2234954834,60.7179641724,62.9489059448,66.4224014282,77.6204147339,65.3238677979,70.3599624634,69.1381225586,69.432762146
62,39.9306564331,45.8807792664,43.7129058838,48.824306488,42.3997573853,30.3696079254,44.0000114441,44.6401138306,40.959526062,55.9030799866,62.5290756226,65.2513885498,53.6373062134,47.1590995789,53.4481010437,74.873626709,56.6128387451,64.4192581177,39.4967079163,56.4302215576
63,49.0728149414,45.6454467773,29.2211894989,44.7248306274,42.8892440796,33.18699646,43.570766449,40.1405715942,33.838394165,40.6300621033,44.044254303,47.1901626587,47.0941505432,35.1929626465,40.2008171082,63.940120697,47.2457008362,55.4540672302,14.9723367691,40.8663368225
64,58.5623245239,47.8537979126,22.8917121887,42.039226532,47.3398361206,41.8735542297,45.9607925415,39.7329788208,30.4185562134,29.6843223572,28.4427127838,31.5537967682,42.8148803711,29.5318279266,31.8616104126,49.0238685608,39.6943855286,46.6423110962,5.3058581352,29.1543560028
65,66.040222168,50.3228988647,28.3363437653,41.0065917969,55.4738349915,53.0056762695,49.3476829529,45.2143211365,33.6275367737,27.2547588348,22.4088134766,23.2625961304,40.6451225281,31.1010189056,30.5644626617,35.1590766907,35.2663879395,39.9410133362,13.5556402206,26.2964897156
